product_id,n_images,split,source_dataset
275,1,train,ICDAR2019_SROIE
088,1,val,ICDAR2019_SROIE
499,1,train,ICDAR2019_SROIE
100,1,train,ICDAR2019_SROIE
142,1,train,ICDAR2019_SROIE
446,1,train,ICDAR2019_SROIE
481,1,train,ICDAR2019_SROIE
325,1,train,ICDAR2019_SROIE
521,1,train,ICDAR2019_SROIE
039,1,train,ICDAR2019_SROIE
210,1,train,ICDAR2019_SROIE
267,1,test,ICDAR2019_SROIE
215,1,train,ICDAR2019_SROIE
018,1,train,ICDAR2019_SROIE
085,1,train,ICDAR2019_SROIE
242,1,test,ICDAR2019_SROIE
205,1,train,ICDAR2019_SROIE
399,1,train,ICDAR2019_SROIE
240,1,train,ICDAR2019_SROIE
075,1,test,ICDAR2019_SROIE
059,1,train,ICDAR2019_SROIE
306,1,test,ICDAR2019_SROIE
154,1,train,ICDAR2019_SROIE
340,1,val,ICDAR2019_SROIE
425,1,train,ICDAR2019_SROIE
228,1,train,ICDAR2019_SROIE
040,1,train,ICDAR2019_SROIE
593,1,train,ICDAR2019_SROIE
101,1,train,ICDAR2019_SROIE
260,1,test,ICDAR2019_SROIE
290,1,val,ICDAR2019_SROIE
107,1,val,ICDAR2019_SROIE
387,1,test,ICDAR2019_SROIE
507,1,train,ICDAR2019_SROIE
366,1,train,ICDAR2019_SROIE
496,1,train,ICDAR2019_SROIE
390,1,train,ICDAR2019_SROIE
416,1,train,ICDAR2019_SROIE
165,1,train,ICDAR2019_SROIE
337,1,train,ICDAR2019_SROIE
429,1,val,ICDAR2019_SROIE
377,1,val,ICDAR2019_SROIE
249,1,train,ICDAR2019_SROIE
530,1,val,ICDAR2019_SROIE
378,1,train,ICDAR2019_SROIE
622,1,train,ICDAR2019_SROIE
474,1,train,ICDAR2019_SROIE
112,1,train,ICDAR2019_SROIE
096,1,train,ICDAR2019_SROIE
226,1,val,ICDAR2019_SROIE
052,1,train,ICDAR2019_SROIE
523,1,val,ICDAR2019_SROIE
564,1,test,ICDAR2019_SROIE
045,1,train,ICDAR2019_SROIE
396,1,train,ICDAR2019_SROIE
424,1,train,ICDAR2019_SROIE
388,1,train,ICDAR2019_SROIE
159,1,train,ICDAR2019_SROIE
185,1,train,ICDAR2019_SROIE
397,1,train,ICDAR2019_SROIE
519,1,test,ICDAR2019_SROIE
488,1,train,ICDAR2019_SROIE
294,1,train,ICDAR2019_SROIE
065,1,val,ICDAR2019_SROIE
351,1,train,ICDAR2019_SROIE
183,1,train,ICDAR2019_SROIE
009,1,train,ICDAR2019_SROIE
027,1,test,ICDAR2019_SROIE
081,1,train,ICDAR2019_SROIE
069,1,train,ICDAR2019_SROIE
332,1,val,ICDAR2019_SROIE
015,1,train,ICDAR2019_SROIE
401,1,train,ICDAR2019_SROIE
041,1,train,ICDAR2019_SROIE
004,1,train,ICDAR2019_SROIE
082,1,train,ICDAR2019_SROIE
248,1,val,ICDAR2019_SROIE
422,1,train,ICDAR2019_SROIE
070,1,train,ICDAR2019_SROIE
144,1,train,ICDAR2019_SROIE
198,1,train,ICDAR2019_SROIE
253,1,train,ICDAR2019_SROIE
384,1,train,ICDAR2019_SROIE
156,1,train,ICDAR2019_SROIE
349,1,test,ICDAR2019_SROIE
319,1,train,ICDAR2019_SROIE
246,1,train,ICDAR2019_SROIE
394,1,train,ICDAR2019_SROIE
140,1,test,ICDAR2019_SROIE
182,1,test,ICDAR2019_SROIE
258,1,train,ICDAR2019_SROIE
596,1,val,ICDAR2019_SROIE
218,1,train,ICDAR2019_SROIE
486,1,train,ICDAR2019_SROIE
188,1,train,ICDAR2019_SROIE
567,1,train,ICDAR2019_SROIE
566,1,test,ICDAR2019_SROIE
257,1,train,ICDAR2019_SROIE
392,1,train,ICDAR2019_SROIE
386,1,test,ICDAR2019_SROIE
375,1,val,ICDAR2019_SROIE
448,1,train,ICDAR2019_SROIE
497,1,train,ICDAR2019_SROIE
110,1,train,ICDAR2019_SROIE
433,1,val,ICDAR2019_SROIE
128,1,test,ICDAR2019_SROIE
599,1,val,ICDAR2019_SROIE
517,1,train,ICDAR2019_SROIE
427,1,train,ICDAR2019_SROIE
452,1,val,ICDAR2019_SROIE
139,1,train,ICDAR2019_SROIE
412,1,val,ICDAR2019_SROIE
211,1,train,ICDAR2019_SROIE
093,1,train,ICDAR2019_SROIE
114,1,test,ICDAR2019_SROIE
311,1,train,ICDAR2019_SROIE
561,1,train,ICDAR2019_SROIE
411,1,train,ICDAR2019_SROIE
259,1,val,ICDAR2019_SROIE
353,1,test,ICDAR2019_SROIE
207,1,val,ICDAR2019_SROIE
316,1,train,ICDAR2019_SROIE
148,1,val,ICDAR2019_SROIE
227,1,train,ICDAR2019_SROIE
402,1,train,ICDAR2019_SROIE
355,1,train,ICDAR2019_SROIE
516,1,train,ICDAR2019_SROIE
239,1,train,ICDAR2019_SROIE
417,1,train,ICDAR2019_SROIE
494,1,val,ICDAR2019_SROIE
026,1,train,ICDAR2019_SROIE
152,1,train,ICDAR2019_SROIE
573,1,val,ICDAR2019_SROIE
043,1,train,ICDAR2019_SROIE
153,1,train,ICDAR2019_SROIE
339,1,train,ICDAR2019_SROIE
608,1,val,ICDAR2019_SROIE
590,1,test,ICDAR2019_SROIE
407,1,train,ICDAR2019_SROIE
458,1,train,ICDAR2019_SROIE
313,1,train,ICDAR2019_SROIE
241,1,train,ICDAR2019_SROIE
329,1,train,ICDAR2019_SROIE
461,1,train,ICDAR2019_SROIE
358,1,train,ICDAR2019_SROIE
291,1,train,ICDAR2019_SROIE
036,1,train,ICDAR2019_SROIE
415,1,train,ICDAR2019_SROIE
406,1,train,ICDAR2019_SROIE
113,1,test,ICDAR2019_SROIE
074,1,train,ICDAR2019_SROIE
132,1,train,ICDAR2019_SROIE
620,1,train,ICDAR2019_SROIE
024,1,train,ICDAR2019_SROIE
447,1,train,ICDAR2019_SROIE
150,1,train,ICDAR2019_SROIE
095,1,train,ICDAR2019_SROIE
031,1,train,ICDAR2019_SROIE
445,1,val,ICDAR2019_SROIE
548,1,train,ICDAR2019_SROIE
127,1,train,ICDAR2019_SROIE
510,1,val,ICDAR2019_SROIE
189,1,train,ICDAR2019_SROIE
549,1,train,ICDAR2019_SROIE
490,1,test,ICDAR2019_SROIE
391,1,train,ICDAR2019_SROIE
362,1,train,ICDAR2019_SROIE
177,1,val,ICDAR2019_SROIE
145,1,train,ICDAR2019_SROIE
324,1,train,ICDAR2019_SROIE
562,1,train,ICDAR2019_SROIE
068,1,train,ICDAR2019_SROIE
174,1,train,ICDAR2019_SROIE
172,1,train,ICDAR2019_SROIE
503,1,train,ICDAR2019_SROIE
293,1,train,ICDAR2019_SROIE
586,1,test,ICDAR2019_SROIE
508,1,train,ICDAR2019_SROIE
138,1,train,ICDAR2019_SROIE
335,1,val,ICDAR2019_SROIE
376,1,train,ICDAR2019_SROIE
115,1,train,ICDAR2019_SROIE
527,1,test,ICDAR2019_SROIE
554,1,train,ICDAR2019_SROIE
219,1,train,ICDAR2019_SROIE
197,1,train,ICDAR2019_SROIE
192,1,test,ICDAR2019_SROIE
103,1,train,ICDAR2019_SROIE
032,1,train,ICDAR2019_SROIE
137,1,train,ICDAR2019_SROIE
526,1,train,ICDAR2019_SROIE
533,1,train,ICDAR2019_SROIE
161,1,train,ICDAR2019_SROIE
580,1,test,ICDAR2019_SROIE
200,1,val,ICDAR2019_SROIE
570,1,train,ICDAR2019_SROIE
475,1,train,ICDAR2019_SROIE
262,1,train,ICDAR2019_SROIE
359,1,val,ICDAR2019_SROIE
440,1,train,ICDAR2019_SROIE
166,1,test,ICDAR2019_SROIE
370,1,test,ICDAR2019_SROIE
181,1,test,ICDAR2019_SROIE
062,1,test,ICDAR2019_SROIE
099,1,train,ICDAR2019_SROIE
464,1,train,ICDAR2019_SROIE
097,1,train,ICDAR2019_SROIE
047,1,test,ICDAR2019_SROIE
569,1,train,ICDAR2019_SROIE
434,1,val,ICDAR2019_SROIE
186,1,train,ICDAR2019_SROIE
264,1,train,ICDAR2019_SROIE
491,1,test,ICDAR2019_SROIE
105,1,val,ICDAR2019_SROIE
583,1,train,ICDAR2019_SROIE
318,1,train,ICDAR2019_SROIE
204,1,val,ICDAR2019_SROIE
361,1,train,ICDAR2019_SROIE
462,1,val,ICDAR2019_SROIE
048,1,test,ICDAR2019_SROIE
295,1,val,ICDAR2019_SROIE
354,1,test,ICDAR2019_SROIE
281,1,train,ICDAR2019_SROIE
493,1,train,ICDAR2019_SROIE
502,1,train,ICDAR2019_SROIE
623,1,train,ICDAR2019_SROIE
014,1,train,ICDAR2019_SROIE
230,1,val,ICDAR2019_SROIE
090,1,train,ICDAR2019_SROIE
578,1,train,ICDAR2019_SROIE
365,1,train,ICDAR2019_SROIE
005,1,train,ICDAR2019_SROIE
489,1,train,ICDAR2019_SROIE
444,1,val,ICDAR2019_SROIE
598,1,train,ICDAR2019_SROIE
201,1,test,ICDAR2019_SROIE
310,1,val,ICDAR2019_SROIE
555,1,train,ICDAR2019_SROIE
450,1,train,ICDAR2019_SROIE
300,1,train,ICDAR2019_SROIE
511,1,train,ICDAR2019_SROIE
453,1,train,ICDAR2019_SROIE
092,1,train,ICDAR2019_SROIE
612,1,train,ICDAR2019_SROIE
574,1,train,ICDAR2019_SROIE
352,1,train,ICDAR2019_SROIE
118,1,test,ICDAR2019_SROIE
395,1,val,ICDAR2019_SROIE
413,1,test,ICDAR2019_SROIE
049,1,train,ICDAR2019_SROIE
301,1,train,ICDAR2019_SROIE
187,1,test,ICDAR2019_SROIE
208,1,test,ICDAR2019_SROIE
373,1,train,ICDAR2019_SROIE
408,1,train,ICDAR2019_SROIE
235,1,train,ICDAR2019_SROIE
203,1,test,ICDAR2019_SROIE
006,1,train,ICDAR2019_SROIE
342,1,val,ICDAR2019_SROIE
315,1,train,ICDAR2019_SROIE
418,1,train,ICDAR2019_SROIE
484,1,train,ICDAR2019_SROIE
600,1,test,ICDAR2019_SROIE
420,1,train,ICDAR2019_SROIE
505,1,train,ICDAR2019_SROIE
280,1,test,ICDAR2019_SROIE
254,1,train,ICDAR2019_SROIE
576,1,train,ICDAR2019_SROIE
117,1,train,ICDAR2019_SROIE
273,1,train,ICDAR2019_SROIE
476,1,train,ICDAR2019_SROIE
169,1,train,ICDAR2019_SROIE
338,1,val,ICDAR2019_SROIE
528,1,train,ICDAR2019_SROIE
171,1,val,ICDAR2019_SROIE
616,1,train,ICDAR2019_SROIE
168,1,val,ICDAR2019_SROIE
283,1,train,ICDAR2019_SROIE
537,1,train,ICDAR2019_SROIE
615,1,train,ICDAR2019_SROIE
492,1,train,ICDAR2019_SROIE
538,1,val,ICDAR2019_SROIE
057,1,test,ICDAR2019_SROIE
552,1,train,ICDAR2019_SROIE
303,1,test,ICDAR2019_SROIE
010,1,train,ICDAR2019_SROIE
164,1,val,ICDAR2019_SROIE
421,1,test,ICDAR2019_SROIE
220,1,val,ICDAR2019_SROIE
000,1,train,ICDAR2019_SROIE
525,1,train,ICDAR2019_SROIE
485,1,test,ICDAR2019_SROIE
312,1,train,ICDAR2019_SROIE
385,1,train,ICDAR2019_SROIE
379,1,train,ICDAR2019_SROIE
270,1,train,ICDAR2019_SROIE
111,1,train,ICDAR2019_SROIE
023,1,train,ICDAR2019_SROIE
383,1,train,ICDAR2019_SROIE
123,1,train,ICDAR2019_SROIE
160,1,test,ICDAR2019_SROIE
194,1,train,ICDAR2019_SROIE
084,1,train,ICDAR2019_SROIE
404,1,train,ICDAR2019_SROIE
124,1,train,ICDAR2019_SROIE
604,1,train,ICDAR2019_SROIE
271,1,test,ICDAR2019_SROIE
551,1,train,ICDAR2019_SROIE
086,1,train,ICDAR2019_SROIE
255,1,val,ICDAR2019_SROIE
360,1,train,ICDAR2019_SROIE
131,1,train,ICDAR2019_SROIE
021,1,val,ICDAR2019_SROIE
025,1,train,ICDAR2019_SROIE
252,1,train,ICDAR2019_SROIE
229,1,train,ICDAR2019_SROIE
243,1,val,ICDAR2019_SROIE
072,1,train,ICDAR2019_SROIE
170,1,train,ICDAR2019_SROIE
381,1,test,ICDAR2019_SROIE
515,1,train,ICDAR2019_SROIE
334,1,test,ICDAR2019_SROIE
468,1,train,ICDAR2019_SROIE
143,1,train,ICDAR2019_SROIE
605,1,test,ICDAR2019_SROIE
442,1,train,ICDAR2019_SROIE
364,1,train,ICDAR2019_SROIE
167,1,train,ICDAR2019_SROIE
078,1,val,ICDAR2019_SROIE
369,1,test,ICDAR2019_SROIE
472,1,train,ICDAR2019_SROIE
212,1,test,ICDAR2019_SROIE
343,1,train,ICDAR2019_SROIE
063,1,train,ICDAR2019_SROIE
473,1,train,ICDAR2019_SROIE
050,1,test,ICDAR2019_SROIE
028,1,train,ICDAR2019_SROIE
478,1,test,ICDAR2019_SROIE
618,1,train,ICDAR2019_SROIE
073,1,test,ICDAR2019_SROIE
245,1,train,ICDAR2019_SROIE
191,1,train,ICDAR2019_SROIE
529,1,train,ICDAR2019_SROIE
579,1,train,ICDAR2019_SROIE
180,1,train,ICDAR2019_SROIE
466,1,val,ICDAR2019_SROIE
595,1,test,ICDAR2019_SROIE
457,1,train,ICDAR2019_SROIE
089,1,train,ICDAR2019_SROIE
122,1,val,ICDAR2019_SROIE
231,1,train,ICDAR2019_SROIE
146,1,train,ICDAR2019_SROIE
125,1,train,ICDAR2019_SROIE
556,1,train,ICDAR2019_SROIE
296,1,train,ICDAR2019_SROIE
451,1,test,ICDAR2019_SROIE
601,1,train,ICDAR2019_SROIE
400,1,train,ICDAR2019_SROIE
265,1,train,ICDAR2019_SROIE
238,1,train,ICDAR2019_SROIE
037,1,train,ICDAR2019_SROIE
261,1,train,ICDAR2019_SROIE
328,1,test,ICDAR2019_SROIE
274,1,train,ICDAR2019_SROIE
149,1,train,ICDAR2019_SROIE
487,1,test,ICDAR2019_SROIE
302,1,train,ICDAR2019_SROIE
346,1,train,ICDAR2019_SROIE
102,1,train,ICDAR2019_SROIE
512,1,train,ICDAR2019_SROIE
575,1,train,ICDAR2019_SROIE
553,1,train,ICDAR2019_SROIE
374,1,test,ICDAR2019_SROIE
076,1,val,ICDAR2019_SROIE
080,1,test,ICDAR2019_SROIE
202,1,train,ICDAR2019_SROIE
305,1,train,ICDAR2019_SROIE
613,1,test,ICDAR2019_SROIE
455,1,train,ICDAR2019_SROIE
356,1,train,ICDAR2019_SROIE
588,1,train,ICDAR2019_SROIE
130,1,train,ICDAR2019_SROIE
326,1,val,ICDAR2019_SROIE
545,1,train,ICDAR2019_SROIE
173,1,train,ICDAR2019_SROIE
309,1,train,ICDAR2019_SROIE
250,1,train,ICDAR2019_SROIE
066,1,train,ICDAR2019_SROIE
582,1,train,ICDAR2019_SROIE
500,1,val,ICDAR2019_SROIE
121,1,train,ICDAR2019_SROIE
151,1,train,ICDAR2019_SROIE
221,1,train,ICDAR2019_SROIE
572,1,train,ICDAR2019_SROIE
011,1,train,ICDAR2019_SROIE
236,1,train,ICDAR2019_SROIE
119,1,train,ICDAR2019_SROIE
034,1,train,ICDAR2019_SROIE
289,1,train,ICDAR2019_SROIE
621,1,train,ICDAR2019_SROIE
321,1,train,ICDAR2019_SROIE
347,1,train,ICDAR2019_SROIE
539,1,test,ICDAR2019_SROIE
233,1,train,ICDAR2019_SROIE
322,1,train,ICDAR2019_SROIE
013,1,test,ICDAR2019_SROIE
542,1,train,ICDAR2019_SROIE
617,1,train,ICDAR2019_SROIE
565,1,train,ICDAR2019_SROIE
232,1,val,ICDAR2019_SROIE
465,1,test,ICDAR2019_SROIE
456,1,test,ICDAR2019_SROIE
372,1,train,ICDAR2019_SROIE
467,1,val,ICDAR2019_SROIE
108,1,train,ICDAR2019_SROIE
611,1,train,ICDAR2019_SROIE
428,1,train,ICDAR2019_SROIE
051,1,train,ICDAR2019_SROIE
333,1,train,ICDAR2019_SROIE
513,1,train,ICDAR2019_SROIE
298,1,train,ICDAR2019_SROIE
272,1,train,ICDAR2019_SROIE
029,1,train,ICDAR2019_SROIE
403,1,val,ICDAR2019_SROIE
345,1,train,ICDAR2019_SROIE
419,1,train,ICDAR2019_SROIE
284,1,train,ICDAR2019_SROIE
020,1,test,ICDAR2019_SROIE
193,1,train,ICDAR2019_SROIE
348,1,train,ICDAR2019_SROIE
019,1,test,ICDAR2019_SROIE
116,1,val,ICDAR2019_SROIE
469,1,train,ICDAR2019_SROIE
368,1,val,ICDAR2019_SROIE
609,1,train,ICDAR2019_SROIE
157,1,train,ICDAR2019_SROIE
133,1,train,ICDAR2019_SROIE
071,1,train,ICDAR2019_SROIE
038,1,test,ICDAR2019_SROIE
520,1,val,ICDAR2019_SROIE
083,1,train,ICDAR2019_SROIE
079,1,train,ICDAR2019_SROIE
155,1,train,ICDAR2019_SROIE
471,1,train,ICDAR2019_SROIE
297,1,train,ICDAR2019_SROIE
506,1,train,ICDAR2019_SROIE
022,1,val,ICDAR2019_SROIE
158,1,train,ICDAR2019_SROIE
196,1,test,ICDAR2019_SROIE
560,1,train,ICDAR2019_SROIE
209,1,train,ICDAR2019_SROIE
094,1,train,ICDAR2019_SROIE
531,1,train,ICDAR2019_SROIE
363,1,train,ICDAR2019_SROIE
162,1,train,ICDAR2019_SROIE
409,1,train,ICDAR2019_SROIE
098,1,train,ICDAR2019_SROIE
350,1,train,ICDAR2019_SROIE
449,1,test,ICDAR2019_SROIE
199,1,train,ICDAR2019_SROIE
017,1,val,ICDAR2019_SROIE
547,1,train,ICDAR2019_SROIE
033,1,train,ICDAR2019_SROIE
571,1,test,ICDAR2019_SROIE
558,1,test,ICDAR2019_SROIE
591,1,val,ICDAR2019_SROIE
504,1,val,ICDAR2019_SROIE
563,1,test,ICDAR2019_SROIE
436,1,train,ICDAR2019_SROIE
263,1,train,ICDAR2019_SROIE
287,1,val,ICDAR2019_SROIE
607,1,train,ICDAR2019_SROIE
534,1,train,ICDAR2019_SROIE
405,1,test,ICDAR2019_SROIE
054,1,train,ICDAR2019_SROIE
147,1,val,ICDAR2019_SROIE
247,1,train,ICDAR2019_SROIE
003,1,train,ICDAR2019_SROIE
001,1,val,ICDAR2019_SROIE
602,1,val,ICDAR2019_SROIE
470,1,train,ICDAR2019_SROIE
225,1,test,ICDAR2019_SROIE
331,1,test,ICDAR2019_SROIE
282,1,train,ICDAR2019_SROIE
498,1,train,ICDAR2019_SROIE
544,1,train,ICDAR2019_SROIE
213,1,val,ICDAR2019_SROIE
435,1,train,ICDAR2019_SROIE
389,1,train,ICDAR2019_SROIE
431,1,test,ICDAR2019_SROIE
614,1,train,ICDAR2019_SROIE
163,1,val,ICDAR2019_SROIE
176,1,test,ICDAR2019_SROIE
581,1,test,ICDAR2019_SROIE
077,1,train,ICDAR2019_SROIE
179,1,train,ICDAR2019_SROIE
423,1,val,ICDAR2019_SROIE
256,1,train,ICDAR2019_SROIE
414,1,train,ICDAR2019_SROIE
341,1,val,ICDAR2019_SROIE
279,1,train,ICDAR2019_SROIE
244,1,train,ICDAR2019_SROIE
432,1,train,ICDAR2019_SROIE
477,1,val,ICDAR2019_SROIE
532,1,train,ICDAR2019_SROIE
535,1,train,ICDAR2019_SROIE
002,1,train,ICDAR2019_SROIE
007,1,train,ICDAR2019_SROIE
410,1,train,ICDAR2019_SROIE
224,1,train,ICDAR2019_SROIE
104,1,train,ICDAR2019_SROIE
557,1,train,ICDAR2019_SROIE
619,1,train,ICDAR2019_SROIE
195,1,train,ICDAR2019_SROIE
276,1,test,ICDAR2019_SROIE
463,1,train,ICDAR2019_SROIE
136,1,val,ICDAR2019_SROIE
550,1,train,ICDAR2019_SROIE
327,1,test,ICDAR2019_SROIE
251,1,train,ICDAR2019_SROIE
610,1,train,ICDAR2019_SROIE
344,1,train,ICDAR2019_SROIE
543,1,train,ICDAR2019_SROIE
223,1,train,ICDAR2019_SROIE
091,1,train,ICDAR2019_SROIE
184,1,test,ICDAR2019_SROIE
439,1,train,ICDAR2019_SROIE
269,1,train,ICDAR2019_SROIE
367,1,train,ICDAR2019_SROIE
126,1,train,ICDAR2019_SROIE
546,1,train,ICDAR2019_SROIE
278,1,val,ICDAR2019_SROIE
382,1,train,ICDAR2019_SROIE
178,1,train,ICDAR2019_SROIE
135,1,train,ICDAR2019_SROIE
216,1,test,ICDAR2019_SROIE
393,1,train,ICDAR2019_SROIE
336,1,test,ICDAR2019_SROIE
087,1,test,ICDAR2019_SROIE
266,1,val,ICDAR2019_SROIE
268,1,train,ICDAR2019_SROIE
035,1,train,ICDAR2019_SROIE
129,1,train,ICDAR2019_SROIE
008,1,train,ICDAR2019_SROIE
061,1,test,ICDAR2019_SROIE
217,1,train,ICDAR2019_SROIE
443,1,train,ICDAR2019_SROIE
042,1,train,ICDAR2019_SROIE
317,1,val,ICDAR2019_SROIE
120,1,val,ICDAR2019_SROIE
437,1,train,ICDAR2019_SROIE
6111242100992,1,train,OpenFoodFacts
3017620425035,1,val,OpenFoodFacts
5449000000996,1,test,OpenFoodFacts
8901719134845,1,train,OpenFoodFacts
7613035833272,1,test,OpenFoodFacts
8901719134852,1,train,OpenFoodFacts
8902080000227,1,train,OpenFoodFacts
8901063139329,1,train,OpenFoodFacts
90162602,1,train,OpenFoodFacts
8901063093522,1,train,OpenFoodFacts
8901058017687,1,train,OpenFoodFacts
8901063162914,1,val,OpenFoodFacts
8906010500559,1,test,OpenFoodFacts
8901764042911,1,train,OpenFoodFacts
8906010500245,1,val,OpenFoodFacts
8906010502232,1,train,OpenFoodFacts
8906010500900,1,val,OpenFoodFacts
8901764032912,1,val,OpenFoodFacts
8906010500023,1,val,OpenFoodFacts
5999884034469,1,train,OpenFoodFacts
7622202225512,1,train,OpenFoodFacts
8901058000290,1,train,OpenFoodFacts
8904043901015,1,train,OpenFoodFacts
5000108478119,1,train,OpenFoodFacts
3948764032912,1,test,OpenFoodFacts
8901063092853,1,train,OpenFoodFacts
8906017290040,1,train,OpenFoodFacts
3948764042911,1,train,OpenFoodFacts
8901719129988,1,train,OpenFoodFacts
7622202334009,1,train,OpenFoodFacts
8906010500627,1,train,OpenFoodFacts
8901491100519,1,train,OpenFoodFacts
8901030921667,1,train,OpenFoodFacts
8901764092206,1,test,OpenFoodFacts
8901030535895,1,train,OpenFoodFacts
8901764082405,1,train,OpenFoodFacts
8901030897542,1,train,OpenFoodFacts
8906010500337,1,val,OpenFoodFacts
8901063029255,1,train,OpenFoodFacts
8901262010016,1,test,OpenFoodFacts
8901764042904,1,train,OpenFoodFacts
8901262200196,1,test,OpenFoodFacts
8906010502119,1,train,OpenFoodFacts
5000354908248,1,train,OpenFoodFacts
8901764032707,1,train,OpenFoodFacts
8906010502294,1,test,OpenFoodFacts
8906010500078,1,test,OpenFoodFacts
8901719135248,1,val,OpenFoodFacts
8906010501570,1,train,OpenFoodFacts
8996001312506,1,train,OpenFoodFacts
8901595862962,1,train,OpenFoodFacts
8901058005233,1,val,OpenFoodFacts
8901063023901,1,train,OpenFoodFacts
8901030921797,1,train,OpenFoodFacts
8902080104581,1,train,OpenFoodFacts
3948764061257,1,train,OpenFoodFacts
8901719135118,1,train,OpenFoodFacts
8901063162532,1,test,OpenFoodFacts
8901764032905,1,train,OpenFoodFacts
89080153,1,val,OpenFoodFacts
8901491361026,1,val,OpenFoodFacts
8904272600291,1,test,OpenFoodFacts
8901262260121,1,test,OpenFoodFacts
8901764092305,1,test,OpenFoodFacts
8901725016258,1,val,OpenFoodFacts
8906010500863,1,train,OpenFoodFacts
8901764061257,1,train,OpenFoodFacts
8906010500481,1,train,OpenFoodFacts
1234567890128,1,train,OpenFoodFacts
8901764042706,1,train,OpenFoodFacts
8901764362804,1,val,OpenFoodFacts
8850389100684,1,train,OpenFoodFacts
