class_name,class_id,coarse_class_name,coarse_class_id,iconic_image_path,product_description_path,source,annotation_method
Watermelon,14,Melon,7,/iconic-images-and-descriptions/Fruit/Melon/Watermelon/Watermelon_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Melon/Watermelon/Watermelon_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Nectarine,15,Nectarine,8,/iconic-images-and-descriptions/Fruit/Nectarine/Nectarine_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Nectarine/Nectarine_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Orange,16,Orange,9,/iconic-images-and-descriptions/Fruit/Orange/Orange_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Orange/Orange_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Papaya,17,Papaya,10,/iconic-images-and-descriptions/Fruit/Papaya/Papaya_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Papaya/Papaya_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Passion-Fruit,18,Passion-Fruit,11,/iconic-images-and-descriptions/Fruit/Passion-Fruit/Passion-Fruit_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Passion-Fruit/Passion-Fruit_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Peach,19,Peach,12,/iconic-images-and-descriptions/Fruit/Peach/Peach_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Peach/Peach_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Anjou,20,Pear,13,/iconic-images-and-descriptions/Fruit/Pear/Anjou/Anjou_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pear/Anjou/Anjou_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Conference,21,Pear,13,/iconic-images-and-descriptions/Fruit/Pear/Conference/Conference_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pear/Conference/Conference_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Kaiser,22,Pear,13,/iconic-images-and-descriptions/Fruit/Pear/Kaiser/Kaiser_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pear/Kaiser/Kaiser_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Pineapple,23,Pineapple,14,/iconic-images-and-descriptions/Fruit/Pineapple/Pineapple_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pineapple/Pineapple_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Plum,24,Plum,15,/iconic-images-and-descriptions/Fruit/Plum/Plum_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Plum/Plum_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Pomegranate,25,Pomegranate,16,/iconic-images-and-descriptions/Fruit/Pomegranate/Pomegranate_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Pomegranate/Pomegranate_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Red-Grapefruit,26,Red-Grapefruit,17,/iconic-images-and-descriptions/Fruit/Red-Grapefruit/Red-Grapefruit_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Red-Grapefruit/Red-Grapefruit_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Satsumas,27,Satsumas,18,/iconic-images-and-descriptions/Fruit/Satsumas/Satsumas_Iconic.jpg,/iconic-images-and-descriptions/Fruit/Satsumas/Satsumas_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Bravo-Apple-Juice,28,Juice,19,/iconic-images-and-descriptions/Packages/Juice/Bravo-Apple-Juice/Bravo-Apple-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Bravo-Apple-Juice/Bravo-Apple-Juice_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Bravo-Orange-Juice,29,Juice,19,/iconic-images-and-descriptions/Packages/Juice/Bravo-Orange-Juice/Bravo-Orange-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Bravo-Orange-Juice/Bravo-Orange-Juice_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
God-Morgon-Apple-Juice,30,Juice,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Apple-Juice/God-Morgon-Apple-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Apple-Juice/God-Morgon-Apple-Juice_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
God-Morgon-Orange-Juice,31,Juice,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Juice/God-Morgon-Orange-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Juice/God-Morgon-Orange-Juice_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
God-Morgon-Orange-Red-Grapefruit-Juice,32,Juice,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Red-Grapefruit-Juice/God-Morgon-Orange-Red-Grapefruit-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Orange-Red-Grapefruit-Juice/God-Morgon-Orange-Red-Grapefruit-Juice_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
God-Morgon-Red-Grapefruit-Juice,33,Juice,19,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Red-Grapefruit-Juice/God-Morgon-Red-Grapefruit-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/God-Morgon-Red-Grapefruit-Juice/God-Morgon-Red-Grapefruit-Juice_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Tropicana-Apple-Juice,34,Juice,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Apple-Juice/Tropicana-Apple-Juice_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Apple-Juice/Tropicana-Apple-Juice_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Tropicana-Golden-Grapefruit,35,Juice,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Golden-Grapefruit/Tropicana-Golden-Grapefruit_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Golden-Grapefruit/Tropicana-Golden-Grapefruit_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Tropicana-Juice-Smooth,36,Juice,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Juice-Smooth/Tropicana-Juice-Smooth_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Juice-Smooth/Tropicana-Juice-Smooth_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Tropicana-Mandarin-Morning,37,Juice,19,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Mandarin-Morning/Tropicana-Mandarin-Morning_Iconic.jpg,/iconic-images-and-descriptions/Packages/Juice/Tropicana-Mandarin-Morning/Tropicana-Mandarin-Morning_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Ecological-Medium-Fat-Milk,38,Milk,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Ecological-Medium-Fat-Milk/Arla-Ecological-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Ecological-Medium-Fat-Milk/Arla-Ecological-Medium-Fat-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Lactose-Medium-Fat-Milk,39,Milk,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Lactose-Medium-Fat-Milk/Arla-Lactose-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Lactose-Medium-Fat-Milk/Arla-Lactose-Medium-Fat-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Medium-Fat-Milk,40,Milk,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Medium-Fat-Milk/Arla-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Medium-Fat-Milk/Arla-Medium-Fat-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Standard-Milk,41,Milk,20,/iconic-images-and-descriptions/Packages/Milk/Arla-Standard-Milk/Arla-Standard-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Arla-Standard-Milk/Arla-Standard-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Garant-Ecological-Medium-Fat-Milk,42,Milk,20,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Medium-Fat-Milk/Garant-Ecological-Medium-Fat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Medium-Fat-Milk/Garant-Ecological-Medium-Fat-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Garant-Ecological-Standard-Milk,43,Milk,20,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Standard-Milk/Garant-Ecological-Standard-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Milk/Garant-Ecological-Standard-Milk/Garant-Ecological-Standard-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Oatly-Natural-Oatghurt,44,Oatghurt,21,/iconic-images-and-descriptions/Packages/Oatghurt/Oatly-Natural-Oatghurt/Oatly-Natural-Oatghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Oatghurt/Oatly-Natural-Oatghurt/Oatly-Natural-Oatghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Oatly-Oat-Milk,45,Oat-Milk,22,/iconic-images-and-descriptions/Packages/Oat-Milk/Oatly-Oat-Milk/Oatly-Oat-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Oat-Milk/Oatly-Oat-Milk/Oatly-Oat-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Ecological-Sour-Cream,46,Sour-Cream,23,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Ecological-Sour-Cream/Arla-Ecological-Sour-Cream_Iconic.jpg,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Ecological-Sour-Cream/Arla-Ecological-Sour-Cream_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Sour-Cream,47,Sour-Cream,23,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Sour-Cream/Arla-Sour-Cream_Iconic.jpg,/iconic-images-and-descriptions/Packages/Sour-Cream/Arla-Sour-Cream/Arla-Sour-Cream_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Sour-Milk,48,Sour-Milk,24,/iconic-images-and-descriptions/Packages/Sour-Milk/Arla-Sour-Milk/Arla-Sour-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Sour-Milk/Arla-Sour-Milk/Arla-Sour-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Alpro-Blueberry-Soyghurt,49,Soyghurt,25,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Blueberry-Soyghurt/Alpro-Blueberry-Soyghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Blueberry-Soyghurt/Alpro-Blueberry-Soyghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Alpro-Vanilla-Soyghurt,50,Soyghurt,25,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Vanilla-Soyghurt/Alpro-Vanilla-Soyghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soyghurt/Alpro-Vanilla-Soyghurt/Alpro-Vanilla-Soyghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Alpro-Fresh-Soy-Milk,51,Soy-Milk,26,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Fresh-Soy-Milk/Alpro-Fresh-Soy-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Fresh-Soy-Milk/Alpro-Fresh-Soy-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Alpro-Shelf-Soy-Milk,52,Soy-Milk,26,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Shelf-Soy-Milk/Alpro-Shelf-Soy-Milk_Iconic.jpg,/iconic-images-and-descriptions/Packages/Soy-Milk/Alpro-Shelf-Soy-Milk/Alpro-Shelf-Soy-Milk_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Mild-Vanilla-Yoghurt,53,Yoghurt,27,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Mild-Vanilla-Yoghurt/Arla-Mild-Vanilla-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Mild-Vanilla-Yoghurt/Arla-Mild-Vanilla-Yoghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Natural-Mild-Low-Fat-Yoghurt,54,Yoghurt,27,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt/Arla-Natural-Mild-Low-Fat-Yoghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Arla-Natural-Yoghurt,55,Yoghurt,27,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Yoghurt/Arla-Natural-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Arla-Natural-Yoghurt/Arla-Natural-Yoghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Valio-Vanilla-Yoghurt,56,Yoghurt,27,/iconic-images-and-descriptions/Packages/Yoghurt/Valio-Vanilla-Yoghurt/Valio-Vanilla-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Valio-Vanilla-Yoghurt/Valio-Vanilla-Yoghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Yoggi-Strawberry-Yoghurt,57,Yoghurt,27,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Strawberry-Yoghurt/Yoggi-Strawberry-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Strawberry-Yoghurt/Yoggi-Strawberry-Yoghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Yoggi-Vanilla-Yoghurt,58,Yoghurt,27,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Vanilla-Yoghurt/Yoggi-Vanilla-Yoghurt_Iconic.jpg,/iconic-images-and-descriptions/Packages/Yoghurt/Yoggi-Vanilla-Yoghurt/Yoggi-Vanilla-Yoghurt_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Asparagus,59,Asparagus,28,/iconic-images-and-descriptions/Vegetables/Asparagus/Asparagus_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Asparagus/Asparagus_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Aubergine,60,Aubergine,29,/iconic-images-and-descriptions/Vegetables/Aubergine/Aubergine_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Aubergine/Aubergine_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Cabbage,61,Cabbage,30,/iconic-images-and-descriptions/Vegetables/Cabbage/Cabbage_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Cabbage/Cabbage_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Carrots,62,Carrots,31,/iconic-images-and-descriptions/Vegetables/Carrots/Carrots_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Carrots/Carrots_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Cucumber,63,Cucumber,32,/iconic-images-and-descriptions/Vegetables/Cucumber/Cucumber_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Cucumber/Cucumber_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Garlic,64,Garlic,33,/iconic-images-and-descriptions/Vegetables/Garlic/Garlic_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Garlic/Garlic_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Ginger,65,Ginger,34,/iconic-images-and-descriptions/Vegetables/Ginger/Ginger_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Ginger/Ginger_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Leek,66,Leek,35,/iconic-images-and-descriptions/Vegetables/Leek/Leek_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Leek/Leek_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Brown-Cap-Mushroom,67,Mushroom,36,/iconic-images-and-descriptions/Vegetables/Mushroom/Brown-Cap-Mushroom/Brown-Cap-Mushroom_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Mushroom/Brown-Cap-Mushroom/Brown-Cap-Mushroom_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Yellow-Onion,68,Onion,37,/iconic-images-and-descriptions/Vegetables/Onion/Yellow-Onion/Yellow-Onion_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Onion/Yellow-Onion/Yellow-Onion_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Green-Bell-Pepper,69,Pepper,38,/iconic-images-and-descriptions/Vegetables/Pepper/Green-Bell-Pepper/Green-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Green-Bell-Pepper/Green-Bell-Pepper_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Orange-Bell-Pepper,70,Pepper,38,/iconic-images-and-descriptions/Vegetables/Pepper/Orange-Bell-Pepper/Orange-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Orange-Bell-Pepper/Orange-Bell-Pepper_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Red-Bell-Pepper,71,Pepper,38,/iconic-images-and-descriptions/Vegetables/Pepper/Red-Bell-Pepper/Red-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Red-Bell-Pepper/Red-Bell-Pepper_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Yellow-Bell-Pepper,72,Pepper,38,/iconic-images-and-descriptions/Vegetables/Pepper/Yellow-Bell-Pepper/Yellow-Bell-Pepper_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Pepper/Yellow-Bell-Pepper/Yellow-Bell-Pepper_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Floury-Potato,73,Potato,39,/iconic-images-and-descriptions/Vegetables/Potato/Floury-Potato/Floury-Potato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Potato/Floury-Potato/Floury-Potato_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Solid-Potato,74,Potato,39,/iconic-images-and-descriptions/Vegetables/Potato/Solid-Potato/Solid-Potato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Potato/Solid-Potato/Solid-Potato_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Sweet-Potato,75,Potato,39,/iconic-images-and-descriptions/Vegetables/Potato/Sweet-Potato/Sweet-Potato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Potato/Sweet-Potato/Sweet-Potato_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Red-Beet,76,Red-Beet,40,/iconic-images-and-descriptions/Vegetables/Red-Beet/Red-Beet_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Red-Beet/Red-Beet_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Beef-Tomato,77,Tomato,41,/iconic-images-and-descriptions/Vegetables/Tomato/Beef-Tomato/Beef-Tomato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Tomato/Beef-Tomato/Beef-Tomato_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Regular-Tomato,78,Tomato,41,/iconic-images-and-descriptions/Vegetables/Tomato/Regular-Tomato/Regular-Tomato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Tomato/Regular-Tomato/Regular-Tomato_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Vine-Tomato,79,Tomato,41,/iconic-images-and-descriptions/Vegetables/Tomato/Vine-Tomato/Vine-Tomato_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Tomato/Vine-Tomato/Vine-Tomato_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
Zucchini,80,Zucchini,42,/iconic-images-and-descriptions/Vegetables/Zucchini/Zucchini_Iconic.jpg,/iconic-images-and-descriptions/Vegetables/Zucchini/Zucchini_Description.txt,GroceryStoreDataset_Klasson2019,ORIGINAL_DATASET
